SampleID	SamplePoint	Lake	Run	Type	Surround	UpstreamBuild	UpstreamFarm	UpstreamPast	Size(stream)	Month	Coliforms	E. coli	Entero	C. perf	Area	Elevation	Ave.Depth	Max.Depth	Shoreline	Volume	WS.Area	WS.Ac.Area	WS.Frac.Water.Area	WS.Frac.Forest.Area	WS.Frac.Farm.Area	Turbidity	ColorVal	pH	Alkalinity	CODMn	Conductivity	TotalHardness	Cloride	Sulfate	Ammonium	Ammonium_nitrogen	Nitrate	Nitrate_nitrogen	Sodium	Potassium	Calcium	Iron	Magnesium	Manganese	Aluminium	Copper
By1.29	Byasjon-1	Byasjon	A	Point	Field	TRUE	FALSE	TRUE	Middle	1-Oct	307.6	12.1	14.8	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	99	6.5	6	9.8	9.5	1.4	13	15	0.078	0.061	0.97	0.22	8.9	0.93	5.7	1.9	2.4	0.11	0.13	0.00048
By2.29	Byasjon-2	Byasjon	A	Point	Field	TRUE	FALSE	FALSE	Middle	1-Oct	1986.3	60.4	43.9	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
By3.29	Byasjon-3	Byasjon	A	Point	Field	FALSE	FALSE	FALSE	Middle	1-Oct	198.9	13.4	1	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	34	6.3	0	8.4	14	1.6	19	31	8.4	0.099	1.4	0.31	11	1	6.1	0.26	3.3	0.13	0.13	0.00047
ByIn.29	Byasjon-In	Byasjon	A	In	NA	NA	NA	NA	NA	1-Oct	152.3	15.6	18.9	5	1.34	48	6	14	6.02	8.14	12.87	49.97	0.10	0.55	0.26	2	46	7.4	15	6.6	9.4	1.4	13	8.6	0.073	0.057	0.93	0.21	8.2	1.3	5.2	0.29	2.4	0.073	0.021	0.00067
ByRef.29	Byasjon-Ref	Byasjon	A	Ref	NA	NA	NA	NA	NA	1-Oct	158.5	7.4	14.3	5	1.34	48	6	14	6.02	8.14	12.87	49.97	0.10	0.55	0.26	1.7	39	7.3	15	5.7	9.5	1.4	13	8.5	0.057	0.044	0.93	0.21	9	1.4	5.7	0.4	2.6	0.097	0.033	0.00048
Ho1.28	Hornsjon-1	Hornsjon	A	Point	Forest	TRUE	FALSE	FALSE	Small	1-Oct	270	11.9	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	25	6.2	0	3.9	10	0.97	19	9.5	0	0	3.8	0.86	12	0.57	4.3	0.033	1.6	0.025	0.24	0.00044
Ho1.18	Hornsjon-1	Hornsjon	A	Point	Forest	TRUE	FALSE	FALSE	Small	2-FALSEv	1553.1	517.2	12.2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ho.1.omg3	Hornsjon-1	Hornsjon	B	Point	Forest	TRUE	FALSE	FALSE	Small	3-May	44.1	5.2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	16	6.8	5	3.3	8.9	0.7	18	5.2	0	0	1.1	0.24	11	0.82	3.1	0.24	1.2	0.022	0.25	0.00069
Ho.1.omg4	Hornsjon-1	Hornsjon	B	Point	Forest	TRUE	FALSE	FALSE	Small	4-Aug	2419.2	58.1	24.9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	17	6.8	5.1	3.4	10	0.7	19	5.3	0	0	0	0	12	0.78	3.2	0.034	1.1	0.004	0.092	0.00064
Ho2.28	Hornsjon-2	Hornsjon	A	Point	Field/Forest	TRUE	FALSE	TRUE	Small	1-Oct	1119.9	166.9	1	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	62	5.9	0	11	8.4	0.7	17	7.2	0	0	0.62	0.14	9.6	0.85	2.9	0.23	1.3	0.055	0.31	0.00038
Ho2.18	Hornsjon-2	Hornsjon	A	Point	Field/Forest	TRUE	FALSE	TRUE	Small	2-FALSEv	686.7	10.9	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ho.2.omg3	Hornsjon-2	Hornsjon	B	Point	Field/Forest	TRUE	FALSE	TRUE	Small	3-May	260.2	22.8	5.2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	54	6.3	2.3	8	7.6	0.59	16	5.2	0.024	0.019	0	0	9.9	0.8	2.3	0.15	1.1	0.024	0.25	0.00053
Ho.2.omg4	Hornsjon-2	Hornsjon	B	Point	Field/Forest	TRUE	FALSE	TRUE	Small	4-Aug	816.4	172.3	52.9	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85	49	6.2	0	7.5	6.4	0.54	13	3.9	0	0	0	0	9.1	0.76	2.1	0.25	1.1	0.011	0.24	0.00047
